,google_keyword,google_review_date,google_stars,google_star_avg,google_review_txt
34,울산대%2004위로,"['6달 전', '2년 전', '1년 전', '1년 전', '1년 전', '2년 전', '2년 전', '1년 전', '6달 전', '7달 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ']",4.3,"['조금 비싸지만 맛은 있어요. 밥도 서비스로 주셨어요. 감사합니다^^ 대학교 강의 비대면으로 전환되어서 그런지 점심시간인데도 손님이 저희 밖에 없네요. ㅠㅠ 다음에는 크림짬뽕? 그거 먹어보고 싶네요', '울산대 근처 맛집! 차돌박이 짬뽕과 필라프가 맛있어요\n분위기있고 가격도 적당하고 오랫동안 영업을 해와서 단골도 많은곳\n중국집보다 짬뽕잘하는곳이네요\n맛있습니다', '세트a인가였고\n울대에서 쉐프소리들을수잇는 요리실력은 여기가 유일한거같다', '꺅~~~~~\n치즈를 아낌없이 부어주시네요~~~\n모든 메뉴 다 먹어보러 갈게요~~~~^^♥', '맛은 있으나 가격이 조금 비싼편인거같아요.. 양도 그렇게 많은거같진않구요 그외적으로 직원들 친절하고 맛있고 편안한분위기라 좋습니다', '울산대 근처 괜찮은 데이트 코스', '무거동 양식집의 베스트~', '맛있어요ㅜㅠ', '', '']"
35,진해%2004튀김천국,['9달 전'],[' 별표 4개 '],4.0,['']
36,송내역%2004하우스,"['1년 전', '2년 전', '1년 전', '1년 전', '2년 전', '1년 전', '2년 전', '2년 전', '7달 전', '2년 전']","[' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 1개 ', ' 별표 4개 ']",3.6,"['인테리어가 독특해서 구경하거나 사진찍기 좋다. 시카고 피자는 좀 느끼하긴한데 그 외의 메뉴 파스타류나 필라프는 배부른데도 계속 손이 갈 정도로 맛있었다.', '두번째 방문이고 저번에도 그러고 이번에도 오리지널로 시켜서 먹었어요~ 역시 치즈는 넘쳐났고 진짜 취저입니다👍 가위로 자를때 치즈가 주르륵 흘러나오는데 진짜 치즈 향 장난아니고 이번엔 감자튀김을 시켜봤는데 위에 뿌려주신 가루도 진짜 맛있더라구요! 소스도 나오는데 너무 귀여웠어요ㅋㅋㅋ 그리고 스파이시 해물 파스타를 먹어봤는데 살짝? 좀? 매우니까 조심하시고 근데 거기 안에 꽃게도 들어있고 홍합, 조개 장난 아니구 양도 2인은 거뜬히 먹을 수 있어요!! 3명이서 감튀에 오리지널 M사이즈에 파스타 하나 시켰는데 배불리 먹고나왔습니당~', '저녁에 왔으면 더욱 분위기있을것같은 맛집! 가게이름답게 내부 인테리어도 공사장같은 스타일로 꾸며져있어서 좋았어요! 음식맛도 맛있었음!', '오랜만에 시카고피자 먹으러 갔습니다. 여전히 치즈가 듬뿍들어있네요.', '시카고피자가 유명한 맛집. 느끼할거 같지만 할라피뇨 토핑이 있어서 느끼함을 잡아줍니다. 페퍼로니피자를 먹었는데 남친은 오히려 좀 맵다구 했네용. 연어 샐러드는 전 좀 비린거 같았어요. 냉동연어인듯 하네용', '괜찮아요~ 2명이서 피자1 파스타1 시켰는데 양이 많아서 피자 남은거 포장함', '음시도 완전 맛있고 기대없이 갔는데 넘좋았어요.\n재방문  의사 또  있응!!!', '양 푸짐하고 맛있어요~', '11시 30분에 연다고 해서 1시 다돼서 갔는데 내부공사중이라고 안들여보내더라. 문앞에 종이가 안붙어있는데 그걸 어느 멍청이가 믿겠냐?\n딱봐도 남자종업원 여자종업원 둘이 노닥거리느라 안받은거지.', '음식은 맛있는데 나온ㄴ데까지 시간이 너무 오래 걸려요. 시간 넉넉할 때 가세요.']"
37,해운대%20051 우리동네,"['3년 전', '3년 전', '2년 전', '2년 전', '2년 전', '3년 전', '3년 전', '3년 전', '3년 전', '3년 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ']",4.3,"['분위기 쩝니다. 삼겹살 구워주는데 삼겹살도 예술 ㅋㅋ 사진 엄청 잘나옴.. 고기도 진짜 맛있고 목살스테이크 같음 이베리코 고기 죽임.. 김치찌개 킹왕짱임 완전 반함', '이베리코 맛 좋습니다. 조금 비싸긴한데 돈값합니다', '음식이전반적으로 달아요! 묵은지김치찌개 맛있다고 해서 시켰는데 참치와 돼지고기넣은 그냥 맛없는 김치 행군물? 찌개 마저 달아요..겉절이 먹는데 설탕 한 입 씹힘! 왜 죄다 단건데?!!\n써비스도 별로.가격은더별로.\n고기만 좀 괜찮고 다른건 다 별로!!', '고기가 맛있고 분위기도 좋아서', '이베리코 돼지고기를 판다고해서 한번 들러서 이베리코 돼지고기 목살을 2인분 먹고 왔습니다. 대구에서도 몇번 먹어봤는데 솔찍히 대구에서 연탄불에 구운게 더 맛있더라구요. 여기는 가스불에 불판을 이용해 구워주는데 주인과 종업원은 엄청 친절하고 분위기도 좋은데 아쉬운건 불판과 불이였습니다.궁금하신 분들은 한번 가서 드셔보세요.^^', '깔끔하고 음식이맛나요.사장님이하 직원매우친절', '이베리코라는 놈들을 몇번 맛봤지만 이 집만큼 맛난집은 아직 못봤다. 하지만 후식으로 비빔냉면은 절대피할것.', '해운대맛집입니다. 분위기에반하고 친절에놀라고 맛에반하는 부산다운맛집입니다.', '오우~ 분위기 장난아님~^^ 꺄~~', '우연히 부산 친구따라 갔는데 분위기도 좋구 맛있네유!']"
44,매호동%2009264커피갤러리,['9년 전'],[' 별표 4개 '],4.0,['']
47,청송%2009순대국밥,"['3주 전', '1년 전', '11달 전', '7달 전', '9달 전', '6달 전', '2주 전', '3달 전', '1년 전', '2년 전']","[' 별표 4개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 4개 ']",4.3,"['음식이 빨리 나오고 맛있어요 근데 주차할곳이 딱히 없어요', '얼큰이 순대국밥 맛있어요. 약간 순두부찌개맛? 머릿고개 안좋아하는분들은 순대만 넣어달라하면 순대만 넣어주세용.ㅎ여긴 돼지연탄불고기 맛잇어요. 얼큰이 순대보다 더 매워요ㅎ얼큰이 순대국밥에 양파를 넣어먹음 꿀맛', 'CY 순대국 푸짐하고 맛도 좋음. 분위기 무난하고, 주차는 개구리 주차나 옆 공간. 순대국에 반찬들고 깔끔하고 배부르게 잘 먹고 나옴.', '기대하지 않고 들어갔는데 순대국밥 맛도 좋고 아이도 돼지 연탄구이 잘 먹었어요 방도 따뜻해서 몸도 녹이고 좋았습니다^^', '청송 솔기온천  가기전 우측에있는09순대집.\n국밥도 잡내가없어 맛있고. 숯불오징어구이.\n숯불돼지고기.불맛이있어서 맛있었음.김치도 전국으뜸 영양 고추가루로 직접담는 맛집임', '시원하고 국물이 좋아요.', '카폐도 있고 좋아용', '얼큰이가 특히 ㅈㅁㅌ', '정말  맛없어요 순대국밥에 돼지냄새가 너무 많이나요', '순대국밥 맛있어요~들깨 넣어서 먹으면 더~^^']"
53,춘천%201.5닭갈비,"['1달 전', '1주 전', '1주 전', '1달 전', '6달 전', '1주 전', '6달 전', '1주 전', '1달 전', '1달 전']","[' 별표 4개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",4.4,"['닭요리를 즐겨하지 않는 나이지만 여기선 맛있게 먹었어요. 약간 카레향이 나기도 하고 여튼 부담없이 먹었어요. 볶음밥꼭 드시길 주차장은 따로 없어서 뒤 골목에 대충세워요. 1인분에12,000 원해여. 일하시는 분들이 많아요. 동치미가 시원하니 닭의 느끼함을 잡아줘요. 야채를 많이 넣어먹어서 더 맛있어요.', '오랜 웨이팅 끝에 맛볼수있었습니다.\n사장님과 직원분들 정말 친절하십니다.\n양은 1.5답게 푸짐합니다.\n일행 4명이 먹었는데, 맛은 호불호가 갈리네요.', '옛날에 가족끼리 여행 갔다가 들려서\n먹었는데 맛있었습니다.\n최근에 친구들 데리고 가서 먹었는데\n맛있다네요 \\ ^-^ /', '춘천의 수많은 닭갈비 집 중에서도, 또 남다른 맛으로 사랑받는 닭갈비 집입니다. 양념은 적당히 맵고 감칠맛이 있고, 가격도 적당한 수준. 끝에 비벼먹는 볶음밥까지, 닭갈비 양념이 좋아서인지 좀 더 맛있게 느껴집니다. 살짝 느껴지는 버터맛과 카레향이 맛을 더 풍부하게 하는 것 같습니다. 일하시는 분들 모두 활기차고 친절하십니다.', '춘천에 있는 유명한 닭갈비집이라 웨이팅이 있어요 저는 12시 30분쯤 방문했는데 (주말기준) 20분정도 기다리고 먹었어요.\n\n제가 직접 볶을 필요는없고 직원분이 수시로 와주시면서 직접 볶아주시고 먹을때도 알려주세요 제가 상추랑 동치미 더 달란말도안했는데 가져다 다…', '13년만에 다시 방문 맛은 좋은데 사람이 많아서 추가주문이 늦게나오네요', '#춘천맛집 #춘천닭갈비맛집 #춘천여행\n어찌어찌 방문했는데 점심시간에 도착 약간? 대기 (30분)후 입장,\n밖에서 냄새는 허기를  키우는 맛난 향으로 나오는 테이블만 보게된다.…', '맛있어요 3주전에 다녀온 곳인데 오늘 운동하면서 갑자기 그 맛이 생각나서 리뷰 작성합니다ㅋㅋ\n보통 이렇게까지 생각나지 않는데 춘천오시면 요기로 가세요 저는 네이버 리뷰는 별로 신뢰하지 않는데 정말 괜찮아요\n보통 닭갈비집 카레맛 많이 나는곳이 많아 별로 안 좋아하는데 이 집도 들어올때 카레 냄새가 나더라구요 그래서 윽 잘못 왔네 했다가 막상 익고나서…', '춘천닭갈비를 많이 먹어본건 아니지만 확실히 맛은 굿입니다', '닭갈비를 좋아하는 편은 아니지만, 요기는 다릅니다.']"
55,청담%2010 꼬르소꼬모 카페,"['1주 전', '3달 전', '2주 전', '5달 전', '1달 전', '1달 전', '1년 전', '1년 전', '3달 전', '1년 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 4개 ']",4.1,"['청담동에서 가장 핫하고 맛있는 파스타집!\n분위기도 상당히 좋아서 모임을 갖거나 데이트하기에 매우 좋은곳!\n다만 음식의 가격이 상당히 높다는 점이 단점이라면 단점~', '예약 안하고 편히 들를 수 있어 좋은 곳\n이제 이곳도 오래되서 처음의 그 멋짐은 많이 사그라들었다. 맛은 쏘쏘지만 편해서 좋다.\n애망빙도 팔던데 그값이면 신라가서 먹는게 열배는 낫다.', '캐쥬얼한 분위기 좋아요.\n소품 구경하는 재미도 쏠쏠합니다🙂', '지인분 소개로 우연히 갔는데!!\n분위기 너무 좋아요!\n자리 배치도 멀리씩 떨어져서  좋았어요!…', '늘 쾌적하고 고급진 분위기가 좋구요👍커피는 늘 맛있구요 빙수가 sold out이라 draft beer마셨는데 맥주도 맛있더라고요👍', '분위기도 서비스도 음식도 좋아요.', 'Travel music with: Daedmaus-I remember\n다양한 인테리어와 IT템들을 많이 만날 수 있는 럭셔리어스 라이프스타일 스페이스입니다. 탕진잼이란 이런 곳에서 쓸 수 있는 말이죠. 이탈리아 밀라노 10꼬르소꼬모(사실 거리이름)를 신세계가 아름답게 창조해내 청담동의 랜드마크로 자리 잡아 놓았습니다. 공간이 비교적 조용한 편이고,…', '인테리어도 음식맛도 직원분들도 다 굿굿!!  but 비쌈. 사람 많고 테이블 간격 좁은 곳이 싫다면 적극 추천. 고급진 분위기에 편히 쉬기 좋은곳. 2인기준 (커피 2잔+디저트1) 5만원정도.', '알려진 바 대로 깔끔한 인테리어입니다.\n특별할 것은 없지만 기본에 충실한 맛입니다.\n전반적으로 마음에 들었지만, 소리에 대하여 신경쓰지 않은 인테리어라 손님들의 대화 소리가 낮게 웅웅 울려서 조용한 분위기는 없다는 것은 단점이었습니다.', '분위기,맛 ,서비스 다 좋습니다\n가격대가 높게 형성되어있습니다.미리 검색해서 메뉴,가격 체크 후 이용하세요. 예약 추천!!!']"
56,대흥%20100 Sheets,"['1주 전', '1주 전', '2달 전', '6달 전', '2달 전', '1년 전', '1년 전', '3년 전', '2년 전', '2주 전']","[' 별표 5개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 2개 ', ' 별표 5개 ']",3.8,"['부드럽고 맛있었고 탄산을 그닥 많이 못먹는데 에이드가 탄산이 약한편이라 잘먹었습니다(*´ ˘ `*)', '깔끔한인테리어~ 수플레 약간느끼함  커피 그닥...', '분위기 좋고 수풀레 맛있어요', '의자가 다소 불편하지만 맛이 해결해줌', '분위기 굿!\n아쉬운 커피라떼맛!(우유가 너무 많이들어가서 아쉬운 맛)', '분위기가 좋음', '굳굳 팬케이크 맛있어요', '방음처리가 안돼서 시끄럽고 직원들도 시끄럽고 겉보기만 저렇지 직원이 과일썰때 막 집어먹고 수플레도 덜익은 계란빵맛이나요 음료도 평균 5~6000원인데 와인잔에 요구르트빨대에 꽂아줍니다 ㅋㅋㅋ 수플레가 13000원인데 갑자기 13000원을 버리고싶어지는 사람한테는 강추합니다 별 하나도 리뷰값임 ㅋㅋ', '커피는 그럭저럭 맛있다. 멋진 직원들이나 프로페셜널이 부족 직접 팬케이크를 제조하는 카페치고 위생관리가 제대로 되지않는듯 보임. 팬케이크는 한입 넣는순간부터 계란을 먹는듯하다 우풍이 심해 겨울에 방문은 비추천한다', '아아 하고 수플레케익 존맛탱']"
59,담양%201003디저트카페,"['2달 전', '2년 전', '3년 전', '2년 전', '2년 전', '2년 전', '2년 전', '2년 전', '3년 전', '2년 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 1개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 1개 ', ' 별표 5개 ']",3.9,"['주인장 말씀대로 수제 팥맛의 팥빙수네요^^', '카페 사장님이 2층에 있는 댓잎홍팥죽에 자주 보이는게 같은 가족인듯 보입니다.\n그거 믿고 팥빙수를 주문했는데, 매우 만족했습니다. 팥으로만 맛을내는 빙수를 좋아하시는 분들께는 입맛에 맞을듯 싶네요.\n매장 분위기도 좋고, 인테리어도 재밌고 아기자기한게 여기저기 많이 숨어있네요.', '케익도 직접 만들어 너무 맛있구요.  카페분위기가 연인과 함께 하고픈 장소로 손색이 없네요.  저는 브런치를 좋아해서 가끔먹는데 느끼하지 않고 깔끔하니 넘 맛있어요.  친절하고 힐링이 되고 갑니다.', '직원분들친절하시고 커피맛도좋네요..', '멍멍이도 데려갈 수 있어요', '', '', '', '', '']"
66,마평동%20100년사골짬뽕,['1년 전'],[' 별표 1개 '],1.0,['탕수육에서 개미가 나왔길래 개미나왔다고 하니까 다시 내왔는데 거기선 두마리가 튀어나옴. 변명으로는 설탕에서 개미가 나왔다고하는데 애초에 식재료 관리가 똑바로 되면 개미가 나오는걸 못볼수가없는데 가장 기본인 설탕에서 개미가 나온다는거는 말이 안됨. 탕수육값은 당연히 받지 않았지만 다른메뉴는 그대로 다받음. 죄송합니다 소리 한번도 안하고 이런식으로 장사하는건 아니라고생각함. 있는 그대로 사실 얘기한거고 글 삭제시 계속 올리겠음.']
68,삼선교%20100년설렁탕,"['6달 전', '3달 전', '2년 전', '9달 전', '1년 전', '4달 전', '10달 전', '10달 전', '1년 전', '1년 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 4개 ']",3.8,"['담백하고 깔끔한 설렁탕.\n고기 맛있음.\n깍두기 맛있음.\n김치 약간 짬.', '도가니를 엄청많이넣어주셨어요 완뚝했답니다!!', '무난히 식사 가능. 24시간이라 5차로 술먹기 좋아요', '뭔가 내공이 느껴지면서도 약간 아쉽기도하다. 고기가 너무 얇아 진짜인지 모르겠다. 깎두기 소굿. 김치 굿.', '맛있어요... 김치가 딱 설렁탕에 제격이네요.. 깍두기는.. 별루에요.. 아이가 가면 늘 국자와 아기스푼 포크 그릇도 따로 챙겨주셔서 넘좋아요~~', '3가지 바꾸었다고 합니다. 맛나네요 기본은 합니다', '설렁탕 맛도 일품, 김치와 석바지무 맛도 일품, 써비스로 주는 묵사발은 쵝오.👍', '부추김치와 서비스 묵사발로 더욱 더 맛있는 설렁탕집입니다. 재방문의사 있어요!', '잡내도없고 맛이 깊음 바로막담은김치라서 더 맛잇ㅇㄷㅁ', '주차장이 없습니다. 설렁탕맛은 좋습니다. 그외에는 만두국은 보통. 도가니탕 육개장 갈비탕은 보통입니다.']"
69,강릉%20100년전통초당순두부,"['1달 전', '1년 전', '7달 전', '3년 전', '2년 전', '4년 전', '2년 전', '2년 전', '2년 전', '3년 전']","[' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 2개 ', ' 별표 5개 ', ' 별표 3개 ']",3.4,"['+\nno need waiting time for lunch.\neasy to park.…', '진심 강릉에서 줄서서먹는 순두부집 여러군데 먹어봣지만 여기가 제일 맛있음\n\n게다가 가격도 너무 착한편인데 올때마다 손님이 별로 없는게 이해가 안가요…', '적당히 짠듯 안짠듯 중독적인맛', '진심 맛남. 강원도 수도 없이 오고, 또 그 만큼 순두부를 먹었지만 이 집이 젤 맛남. 화려하진 않지만 진지하고 차분한 순두부 딱 그 맛임. 애들 2명 포함 4인 가족은 전골 작은거 추천. 보탬 없이, 전통있는 순두부 맛집임.', '순두부 촌이 많이들 붙어있어서 그런지 맛은 비슷 한거 같아요', '강릉시 운정동에 100년전통 순두부집이 있는데.. 여러군데 있어서 어떤 집이 진짜인지 구분하기 힘드네요. 아무튼 순두부는 최고입니다.', '무난한맛. 시설은 노후', '변함없는 맛이에요', '정말 맛없고, 성의 없어요', '몬가 100년전통이란 이미지가 너무거창한 일반적인 드부']"
70,처인구%20100년황태,"['1주 전', '2달 전', '4일 전', '1달 전', '4년 전', '1주 전', '1년 전', '1년 전', '9달 전', '3달 전']","[' 별표 4개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 1개 ']",4.0,"['황태구이 정식을 점심식사시간에 즐겼습니다. 식당 내부 깔끔하고 친절하시고 밑반찬 깔끔하게 나옵니다. 정식에는 1인용 황태해장국 미니 뚝배기에 황태구이 한마리 나옵니다. 황태해장국 맛나고 황태구이는 와 양념 맛있네요. 밥한공기가 뚝딱에 밥이 부족하지만 황태구이가 배를 두둑히 해줍니다. 11,000원치고 가성비 괜찮습니다. 손님 접대에도 괜찮은 식사이고 메뉴네요. 재방문의사 있습니다.', '저도 처음 방문한곳 입니다.\n황태정식 먹었습니다. 탕,구이,밑반찬나와요.\n밑반찬은 그저그런데 구이는 너무 맛있어요…', '전  사장님은 맛 있었는데\n가게를 다른분한테 팔고\n지금의  사장님은  음식은\n저에게는 조금  안맞아요', '기본은 하네요~', 'C 맛있는 황태 음식. 국물이 있는 황태탕이 아주 좋았음.', '가성비 좋아요', '황태전골과 구이를 함께 먹으면 좋습니다.특히 황태전골의 진한국물은 술마신 다음날 해장으로도 손색이 없을정도로 좋습니다.\n\n식당분위기는 주인분의 음악사랑을 엿볼수 있으며 바이크도 즐기시는지 바이크도 있더군요..…', '깔끔하게 잘 나옵니다', '만두전골 시원한 국물이 겨울에 딱이네요~', '맛은그닥']"
