,name,naver_star_point,naver_blog_review_txt
7085,코코호도,4.55,"✨♀️✨ 주말에 갔던 코코호도 나는 별로 안좋아하는데 우리엄마의 원픽이다 오늘도 엄마를 위한 배민라이더 2.. 코코호도 이천점 9:30 _ 21:30 (일요일 휴무) 매장마다 휴무와 시간이 다르다 작은 매장으로 선물용,간식용...,이천 코코호도 9시 오픈 시간쯤 전화해서 간식용 구매할거라니까 와서 바로 구매할 수 있다고 하셨다 월요일 팀미팅 다과 매번 태극당 빵 아니면 대월떡집에서 떡 사서 준비해드렸는데 질리시는지 잘 안드시는거 같아...,추석선물로 받은 [코코호두] 호두과자 선물세트 이마트를 오랜만에 가보니 푸드코트에 호두과자가 생겼더라구요. 냄새가 호두과자의 고소함에 유혹되서 구입을 하려고 보니 가격이 생각보다 너무 비싸서 구입을...,이천 분수대오거리 흔하게 볼수 없는호두과자 전문점! 코코호두 이천 분수대 오거리에 있는 코코호두! 제가 이 위에 청담모텔성형외과를 갔다 오면서 1층에서 구입! 호두과자 좋아해요 .. (안좋아 하는게 별로 없는.....,다들 추석준비하느냐고 많이들바뿌시죠!! 오늘 방문한곳은 이천 분수대 오거리에있는 코코호도 입니다. 얼마있으면 추석인데!! 추석에는 오랜만에 온가족들이 만나서 인사고하고 먹거리도 즐기고 하잖아요!! 추석이되면..."
7087,코코호도,4.39,"호평동 코코호도 / 코코호두 호평동 간식 동네 호평동에 오래전부터 있던 코코호도 평내호평점 입니다 :) 친정 갈때 남편이가 할머니 사다 드리자고 해서 오랜만에 들렸었어요. 꽤나 오래 자리하고 있는거 보니깐 손님이...,안녕하세요 서울리온치과입니다 모두 행복한 하루 보내고 계시나요? 오늘은 치과에 다니시는 김O은님께서 저희를 위해 코코호도를 선물해 주셨어요!! 코코호도는 2003년 설립하여 많은 분들의 사랑을 받고 있죠...,안녕하세요 서울리온치과입니다 :) 이 정도면 코코호도 호평점의 사랑을 좀 받아도 되겠죠? 치과에 다니시는 채O선님께서 저희를 위해 코코호도를 선물해 주셨어요! 먹어도...,호두과자보관법 호두과자칼로리 코코호도 지인분께서 선물로 주신 코코호도 호두과자를 먹다가 한번에 다 먹을수없기에 어떡하면 호두과자를 처음맛 그대로 보관해두었다 먹을수있을까 궁금해져 호두과자 보관법에 대해...,호평동에도 코코호도가 있어요. #호평동코코호도 큰아들이 좋아해서 가끔 사먹어요. 아침 일찍 가면 그전날 만든걸 20프로 싸게 살 수 있어요. 사무실에 갖다놓고 하나하나 까먹다보면 아차합니다. 칼로리가 높거든요 ㅋ..."
7088,코코호도,4.39,"집근처에 있는 호두과자집 ""코코호도 "" 매일 지나가면서 냄새로 유혹당해서 자주 가는 곳 줄지어 나란히 담아진 호두과자 다먹고 싶어지네용 가격표 다른손님들도 많았는데 선물용으로 사시는 분도 많더라구요 오늘은...,오늘 아드님 언어 센터 가시는날 수업들어가면..저는 간식 사러가죠 간식을 항상 주문하세요 평소에도 좋아하는 호두과자 빵순이 빵돌이 아침에도 먹어놓고... 가격이 이렇게 보통 호두과자보다 비싸요 큰 차이점은.....,호두과자 전문점 코코호도 동탄 능동점 오늘도 맛있는 간식이 들어왔어요~ 호두과자인지 모를만큼 선물박스가 너무 예쁘네요^^ 촘촘하게 가득 들어있습니다 저는 겉은 바삭 속은 촉촉한 호두과자를 좋아하는데요...,산책하러 갔다 오는 길 코코호도 호두과자는 주로 고속도로 휴게소에서 나 사 먹었어요. 동네 가게에선 이번이 두 번째입니다, 호두과자 처음 사서 먹을 때도 맛있어서 소개해 주려고 생각했었는데 잊고 있다가 오늘...,며칠전부터 호두과자를 먹고 싶었는데 시간이 안 맞아서 못 먹고 있다가 드디어 오늘 점심시간에 잠시 다녀왔습니다. 한 봉지에 3천원 5천원짜리가 있고 그 외 이쁜 포장으로 컵이나 박스에 담아서 판매되고 있었는데요....,매장에서 직접 구운 제품을 당일 판매 원칙! 미국 캘리포니아산 청정 호두만을 사용하며, 신선도를 유지하기 위해 제품 하나하나를 개별 포장하여 실온에서도 잘 굳지 않아 부드러운 맛을 오래 즐기실 수..."
7089,코코호도,4.51,"오늘은 몸에도 좋고 맛도 좋은 호두 전문점 코코호도에 대해 소개드립니다. 아침 저녁으로 쌀쌀해지는 요즘 감기들기 쉬운 어린 아이들에게 좋은 잣(해송자) 호두 꿀을 자주 먹이는것이 좋겠습니다. 호두는 체내에 쌓인...,코코호도 영통역점 (호두과자) 수원시 영통구 매영로342번길7 트리플렉스 1층 평일 09:00 - 21:00 토요일 10:00 - 21:00 일요일 휴무 전화 050-71372-1303 안녕하세요 모루세라예요 가끔씩 즐겨먹는 간식 호두과자 샀어요^^ 저는...,안녕하세요. 코코호도 영통역점이에요^^ 어린이날, 어버이날, 스승의날~. 감사의 달 5월이 왔네요. 올해도 모두가 좋아하는 코코호도 호두과자로 마음을 전해보세요 적당히 달달한 팥 듬뿍, 호두도 알차게 들어간...,설날이 코앞으로 다가와서인지 오늘은 선물용 소,중,대가 많이 나갔어요. 올해는 홍보를 제대로 못했는데 이렇게 찾아와주신 고객님들께 감사할 따름입니다 그래도 더 많은 고객님들이 오셨으면하는 마음에...,광교에는 코코호두 점이 왜 없는걸까? 요즘 호두과자가 먹고 싶어서 영통역에 온김에 호두과자를 사러 왔다!! 히히 주인 여사장님이 친절하시당^^ 코코호두는 휴게소 호두과자랑은 맛이 다르지만... 그래도 호두가 크게...,유리출입문이 간극이 너무 세밀해서 하단 철제가 벌어져 버렸다고 #영통유리문H바수리 요청내용. 집안의 모든 문도 오래사용하다 보면 결국은 고장나고 교체하는 소모품입니다. 고장시, 더 오래토록 사용하기 위해서는...,☆2021/ 8 / 9(월)부터 호두과자 상품 판매가가 인상됩니다 ☆ 자세한 내용은 위의 이미지를 눌러 확인해주세요. 호두과자 *간식용 간식용 3000 (일반 호두과자 10개) 간식용 6000 (일반 호두과자 20개) 간식용 10000...,코코호도 영통역점은 일반지점과는 다른 카페형 지점입니다. 호두과자뿐만 아니라 커피,음료도 판매하고 있습니다 ~. 영업시간: 평일 9:30~21:00 / 토요일 10:00~21:00 위치는 롯데마트 영통점 후문 맞은편의 '트리플렉스...,안녕하세요~ 오늘은 국민건강간식! 호두과자를 소개하려고 합니다. 영통역 근처에 있는 코코호도 영통역점 입니다. 위치는 영통역 7번출구 롯데마트후문 앞 입니다 휴게소하면 떠오르는게 호두과자가...,날씨가 쌀쌀해지니 따뜻함을 찾게 되네요. 길 가다가 아이들이 좋아할 듯 해서 들른 호두과자 가게..깔끔한 외관에 호두과자도 맛있을 듯 싶어 들어갔는데 주인 자매분도 너무 친절하셨어요.제가 체험글들 올릴 때마다..."
7090,코코호도,4.48,"강상현님께서 코코호도를 선물해주셨어요! 여기 호두과자가 너무 달지도 않고 맛있어서 다들 좋아하는데 선물 감사드립니다~!,횽횽~~ 오늘은 횽이가 선물로 받은 호두과자 자랑하려구요 ㅎㅎㅎ 저도 답례품으로 호두과자가 좋더라구요~ 호두과자 하면 천안호두과자가 유명하지만! 뭐 먹고프다고 거기까지 갈수가 없으니까요 ^^ 이곳으로 ~^^ 요렇게...,의정부 금오동 코코호도홈플러스 근처를 돌아다니다가 발견!!선물용이 아니라 간식용으로 먹으려고 간 거기 때문에 저희는 간식용 호두과자 12개를 시켰어요ㅋㅋ 가끔 천안호두과자가 그리웠었는데 의정부에 이렇게..."
7091,코코호도,4.63,"#내돈내산 아침에 길가다가 호두과자 바로만드는 맛있는 냄새나서 충동구매 매장에서 바로 호두과자기계로만듬 간식용 3천원, 나는 만원원치구매 뜨끈뜨끈♥♥♥♥♥맛있겠다♥♥♥♥ ♥♥♥♥♥ 가끔호두과자라써있고...,10년전인가 아는오빠가 사준걸 먹어보고 너무맛잇어서 종종 사먹는 코코호두과자. 10시 가게 오픈할때가면 뜨끈 뜨끈 호두과자 바로 만든걸 사먹을수있어요ㅋ 가끔 모양만 호두과자고 팥만있고 호두안들어있는...,가끔 주전부리가 생각날때 사요 호두가 큼지막하게 들어 있어서 먹는데 맛있어요 딸기맛이 궁금한데 주문해야한다고 미리 알려줘야 하나봐요 아쉽네요 작은사이즈 3000원 11개 #코코호도 #작은사이즈 #보정점,며칠 전에 올린 용인 카페에 이어 부원장님이 미용실오픈하고 처음 가봐서 뭐사드리지 고민하다 발견한 코코호도집을 알려드리고 싶어 끄적끄적 해봅니당~ㅎㅎ 역에서 마을버스타고 한정거장 가서 내리자마자 코코 호도가...,오랜만에 호두과자 코코호도를 사먹었어요 사랑은 코코호도를 타고 호두과자전문점 코코호도 패키지 죽전 호도과자는 카페거리 초 입구에 있습니다. 가장 작은봉지 삼처넌 까궁 호두과자 칼로리도 적지않아요..."
7092,코코호도,4.18,"From, 블로그씨 여기에선 이거지! 항상 먹고 마시는 고정 메뉴가 있으신가요? 성남버스터미널 호두과자! 분당갈 일이 있으면 무조건 사먹는 코코호도의 호두과자이다. 이때까지 호두과자 먹어본것 중에 제일 맛있다...."
7095,코코후라이드치킨,4.43,"안녕하세요? 쿠잉한나입니다. 오늘은! 복정동 코코후라이드치킨을 소개할게요~ 동료들과 함께 먹은 치킨입니다! 한 동료에게 픽업을 부탁했더니~ 제가 블로그한다고 ㅋㅋㅋㅋㅋ 이렇게 사진을 정성스럽게 찍어왔어요....,퇴근하고 심심해서 친구가 운영하는 도자기공방에 놀러갔어요~ 도자기 만들러간건 아니구 저녁 먹으러요ㅎㅎ 친구가 치킨 먹고싶다하여 공방 근처에 있는 치킨먹으러 갔어요^^ 샵내부는 작아요 배달이나 포장을 많이...,이사오고나서부터 2주에한번씩은 시켜먹은듯한 어느새 2년째 ㅋㅋㅋ 네이버에 리뷰가 없어서 내가 리뷰해본다 맨날 먹는 간장반 후라이드반 근데 여기는 닭똥집도 같이 넣어줌...진심 레알 이게.존맛임 ㅠ 닭다리뜯다가..."
7096,코콩라떼,4.35,"구리 #협신자동차검사소 에 자동차 정기검사를 받으러 왔다가 발견 한 곳! 11시까지 아메리카노가 2천원! 노란색 표지판에 표시되어있어요. 밖에서 보는거와 달리 내부는 생각보다 크고 쾌적했습니다. 인테리어도...,카페 투어 1 주인장의 손 맛과 정성 가득한 수제 음료 커피 한 잔도 차 한잔도 허투루 만들지 않는다. 수제청에 겨울엔 즉석에서 만들어주는 감귤차까지..50여가지의 메뉴들~ 자매가 운영하는 이 카페는 그래서 더 정겹고...,아빠 병원에 왔다 갔다 하면서 봤던 작은 카페 구리 코콩라떼 코콩라떼는 프랜차이즈가 아닌 개인 카페인데요 위치는 한양대학병원 맞은편 돌다리 방향으로 가다 보면 있어요 우리은행 옆이네요 아담하고 조용한 카페...,안녕하세요 구리 카페 코콩라떼 카페지기입니다 4월 16일인 오늘은 추적 추적 비가 내리는 하루네요 일기예보에선 10 - 30mm 정도 내릴 것 이라고 했는데, 더 많이 오는 듯 합니다! 기상청...으으 믿지 못하겠어요 (이런...,안녕하세요! 코콩라떼 카페지기에요 저번 블로그를 포스팅 할 때엔 비가 주룩주룩 내리더니, 오늘은 초미세먼지 주의보가 전국에 내려졌네요 경기도에선 구리, 남양주 쪽도 주의보 발령 지역으로 지정되어서 그런지...,안녕하세요 코콩라떼 카페지기에요! 구리 카페 코콩라떼를 찾아주시는 손님 여러분 모두 좋은 하루 보내고 계신가요? 카페지기는 월요일 아침을 맞아 열심히 블로그를 작성하고 있답니다 오늘은 다름이 아니라, 구리 카페...,안녕하세요 구리 카페 코콩라떼 카페지기입니다 다들 미세먼지 피해서 잘 지내고 계신가요? 요즘은 그래도 구리 남양주 쪽에 미세 먼지 농도가 낮아져서 숨을 깊게 쉬면서 지낸답니다 (출처: 구글) 오늘은 구리 카페..."
7099,코쿠루72,4.43,"어느 날 감바스를 한 번도 안 먹어본 저는 반쪽이와 감바스 음식점을 갔다가 근처 카페를 그냥 들어가 보았습니다. 그런데 수제로 만든 클라우드 라떼를 파는 겁니다. 그렇게 맨날 반쪽이 보러 강릉 놀러 가면 들렀던...,강릉 카페 코쿠루72 인생 딸기라떼 영접 안녕하세여. 오늘은 카페 코쿠루72, 강릉 카페로 강추하고 싶은 곳이에여. 강릉에 다녀온 이후로 오지고 지리게 영업하고 있는 곳이기도 하답니댜. 지금까지 먹어본 딸기라떼 중...,택지 정감에서 밥먹고 걸어서 갈 수 있는 커피숍을 찾다가 우연히 발견하게 된 커피숍입니다. 정감 옆쪽 골목으로 조금만 들어오면 바로 보여요^^ 카페 코쿠루72 kokulu 발음이 귀엽습니다ㅎㅎ 예전엔 카페 풀잎(PULLIP)...,[ 강릉 카페 ] 코쿠루72 얼마 전, 코코 데리고 병원갔다 오는 길에 보게 된 코쿠루72 멋진 강릉 카페를 발견해 가봐야지 맘 먹고 며칠 뒤 방문 내부가 정말 따스한 분위기라서 좋았어요 테이블도 널찍하고 테이블 간격도...,상호 : 코쿠루72 위치 : 강원 강릉시 율곡초교길 3 영업 : 11:00 ~ 23:00 매장 번호 : ***-***-**** 우리 집 근처에 있는 와플이 유명한 카페이다. 과일이 듬뿍 올라간 와플이 먹고 싶었지만 크로플을 좋아하는 친구를 위해 주문한...,2월말에서 3월은 정말 순식간에 지나갔다. 올림픽이 끝날무렵 시작된일은... 매일 야근과 주말출근을 하게했고, 12시전에 들어가는걸 행복하게 만들었다. 안끝날 것 같았던 일이 끝나고 친구와 편하게 자주가는 까페를...,늘 자주가던 풀잎이 사라지고 그 자리에 새로운 까페가 생겼다. 인테리어 넘나 내스탈.. 풀잎이 없어져서 서운했는데 서운 할 틈도없이 자주가고있다..ㅎㅎ 가격은 좀 있지만 진짜 후회안할 최상의 커피맛들...,#코쿠르72 강릉 와플 맛집 색감, 분위기 넘 여자 여자하고요! 음료랑 와플 넘 맛있었어요 과일도 넘 신선하고요 저는 포장해서 바닷가 앞에서 소풍하듯 먹었는데요 다음엔 매장에서 먹어야겠어요 분위기가 넘 이뻐서요...,#강릉카페 #코쿠루72 오랜만에 방문한 코쿠루! 메뉴판. 평일 낮이라 그런지 한적했당. 홀 중간에 있는 문을 통과하면 분리??된 공간도 있당. 창가에 앉아서 노트북 뚱땅대도 괜찮을듯 ㅎㅎ 이거 찍으려고 챔정한테...,이번에 강릉으로 다녀오면서 엄청 맛있는 고깃집을 알게 되어서 이렇게 후기까지 남겨 봐요 강릉 오죽헌 맛집으로도 유명한 곳이였구요 교동직영점으로 체인점이지만 강릉에 와야지만 먹을 수 있는 강원도..."
7101,코쿠미,4.02,"#블챌 #오늘일기 #라이프로그블로그 #추석썰 어제까지 거제도에서 휴가를 즐기고 앞으로 2틀은 혼자서 휴가 즐길예정 사실 눈 때문에 어디 나가지도 못함,, 목요일 아침 승비니의 호출로 인해 밖으로 나오게 되었다...,오랜만에 찾은 동촌유원지입니다. 동촌유원지는 금호강을 따라 길게 조성되어 있는데요, (벚꽃명소지만)봄 외에는 수성못보다는 좀 조용한 편인 것 같아요. 수성못은 막힌 호수라서 좀 답답한 느낌이 있는데 동촌유원지는...,날짜 2021년 8월 16일 월요일 날씨 맑음 제목 새가슴으로 끝난 저녁 피크닉 원래 오늘의 나의 일정은 혼자 만화카페가서 약속의 네버랜드 다읽기 였다. 하지만 와타시의 침대뒹굴뒹굴을 이기지 못하고 ……. 난...,어제 저녁 동촌유원지 ! 평일 저녁은 격일이라도 무조건 걷자 마인드가 되고나서는 하루에 1시간 안 걸으면 뭔가 이상하더라 이래서 습관이라는게 무섭다ㅋㅋㅋ 어제도 어김없이 1시간 넘게 걷다가 일요마무리를 했다지...,대구 데이트코스, 동촌유원지 오리배 :) 2021. 06. 27.(일) 진짜 오랜만에 쓰는 둥이네 대구 여행기 ㅎ 보통 아이와 여행을 다닐 때 아이 위주의 장소를 선정하게 되잖아요? 지난 대구 여행 2일 차에는 아이가 좋아할 만한 장소...,대구 강아지 산책 동촌유원지 아양기찻길 매번 똘이와 함께 보낼 수 있는 주말이 되면 부산에 가는 날이 많지만 대구에서 데리고 있을 때면 대구 강아지 산책하기 좋은 곳을 꼭 검색하게 된다. 애견 운동장이나 애견...,안녕하세요 대구 동구청 블로그 기자단 8기 김미래입니다. 벌써 봄의 계절이 다가오면서 봄봄봄~ 봄나들이로 동촌유원지에 다녀왔습니다! #동촌유원지 는? 해맞이다리, 유선장, 체육시설, 유기장 및 상가 약 80여 곳 등 각종...,IU 데뷔 13주년 2021.09.18 오눌운~~ IU언니의 데뷔 13주년!!!! 코로나로 인해 서울은 못 가고.. 대구유애나들끼리 만나서 아이유 없는 아이유파티 하기로 함! 9000원 주면 되는데 9180원 주는 이 센스쟁이 나랑 선아님이 먼저...,날좋던 5월. 남편은 일하는 토요일. 최근들어 점점 유나와의 데이트가 즐거워 이날도 무작정 나섰다. 목적은 오리배! 나 어릴땐 발을 굴러야 움직였는데 요즘껀 자동! 세상 좋아졌네♡ 오리배 안에서 간식도 먹고 ㅎㅎㅎ...,많은 지역이 그러하듯 대구에도 벚꽃 명소가 여러 군데 있다. 수성못, 두류공원, 팔공산, 동촌유원지 등등... 여전한 코로나의 상황 가운데도 어김없이 벚꽃의 계절은 다시 찾아왔고, 나는 친구와 함께 동촌유원지로 향했다...."
7102,코쿠미,4.42,"신정호수 맛집 무얼 먹으러 갈까하다가 양식을 먹기로 했고! 코쿠미 KOKUMI라는 퓨전일식 레스토랑으로 결정 탕탕!! 일식+양식 퓨전 음식집이다 히히 신정호수는 주차장도 넓고, 예쁜 카페와 맛집 그리고 산책로가 있어서...,아산 신정호 데이트 코스 : 카페 안낙,코쿠미 오늘은 아산 신정호에서 맛있는 파스타 집과 분위기 좋은 카페를 소개해드릴까해요^^ 몇일전 아산 신정호 데이트 코스로 딱인 신정호 코쿠미와 카페 안낙 !! 밥먹고 카페까지...,얼마 전 사랑하는 엄마를 모시고 신정호 맛집에 다녀왔는데요. 럭셔리한 분위기에 산책코스를 갖췄으며 음식의 비주얼과 맛 그리고 서비스 부분에서 뭐하나 모자란게 없어 흡족스럽던 곳이라 공유드릴게요! 1.코쿠미...,안녕하세요. 대배우사임당입니다. 제가 이번에는 신정호맛집 다녀왔어요. 코쿠미♡ 뷰도 좋고 맛도 좋고 아산맛집이라서 다들 알고 계시쥬? 날씨도 좋아서 식사 후에 산책 한바퀴 하고 나니 세상 부러울게 없는...,안녕하세요 별이멍멍이에요! 신정호를 지나갈때마다 아 여기 와바야지 했던곳인데 일본식 퓨전 레스토랑인 코쿠미 에요 회나 해산물을 팔까싶었는데 또 그런 느낌은 아니여서 다음에 가봐야지 가봐야지 했는데 이번에...,아산 신정호 맛집 코쿠미 스테이크 파스타 솔직후기 안녕하세요. 시골도시인입니다. 오랜만에 천안아산지역 포스팅을 하네요. 천안아산지역의 근교 중에 데이트 장소나 바람 쐬러 나가기 좋은 곳 중에 유명한 곳이...,신정호 퓨전레스토랑 코쿠미 2020. 12. 18 작년에 깜빡하고 지나친 기념일 올해는 그냥 지나치기가 아쉬워 신정호 일본식 레스토랑 코쿠미로 외식~ 시국이 시국인지라 망설이다가 사람이 많으면 그냥 컴백할 맘으로 고고씽...,아산 신정호수 맛집 다녀왔던 이야기 전달드리도록 하겠습니다. 예슬이네 부부와 함께했던 시간이었는데 값졌어서 기억에서 잊혀지지 않을 거에요. 파스타 볶음밥 모두 맛났던 곳이에요. 상호 : 코쿠미 주소 : 충청남도...,*이 블로그는 직접 매장에서 내돈내산으로 주문해 작성한 후기입니다. 이웃추가와 댓글, 좋아요 한번만 눌러주세요. 저번주 주말에 평택에서 차박을 하고 내려오는 길에 점심식사를 하려고 아산에 잠시 들렸어요....,신정호 맛집으로 유명한 코쿠미에 다녀왔어요. 코쿠미 ♡ 일본식 캐주얼 다이닝 이라고 설명하던데 아무튼 맛도 분위기도 좋아서 드라이브겸 나들이로 신정호 갔다가 먹고 오면 좋은곳이에요"
7103,코쿤,null,null
7104,코쿤,4.39,"여수 디저트 맛집~!! 여수 현지인이 데려다준 카페코쿤~!! cafe cocoon~~~~ 입구부터 예사롭지 않은 이 분위기~~~!! 실내는 그리 크진 않지만 그리 좁지도 않은 딱~편안한 사이즈~!! 뭔가 있어보이는 진열장 ㅋㅋㅋㅋ 다양한...,2021.07.30. 생일축하한다고 1년만에 연락온 서울이에게 이제 여수를 떠나 다시 서울사람이 된다는 이야기를 들었다. 그런 얘기를 들었는데 그냥 보낼 순 없지.? 그래서 만났다. 어디서? . . 카페코쿤은 초~고3까지...,비엔나커피 , 퐁당쇼콜라 맛집 여수 카페코쿤 11:50 - 23:30 일요일 휴무 유투브 여수언니 영상 보면서 여수에서 지낼때가 생각이 났어용 제가 좋아하던 카페 맛집도 있더라구요 ㅎㅎ 요기 왼쪽 구석에 있는 퐁당쇼콜라...,여수 커피숍 코쿤 _ 핸드드립 커피 여수 여서동 로스팅 커피숍 코쿤... 얼마 전 영화시간 전 짬을 내어 후다닥 다녀왔다는 그 커피숍!!! 달콤쌉싸래 뜨끈뜨끈!!했던 자몽쥬스가 입에 착!! 달라붙었었고~~ 테이크아웃 잔에...,여수카페 코쿤~커피가 맛있다고 들었눈뎅!! 꺌 여서동에 이런 숨은 카페가 있었다니...!!! 드디어 가봤답니당 헷 여서동 주공1차아파트 골목에 위치한 코쿤!! 주차하기는...먼가 애매했지만! 건물들 앞에 주차공간에 했지용...,여수 커피숍 _ 코쿤 여수 맛집, 여수 커피숍, 핸드드립, 로스팅 카페 추천 커피가 맛있다고 지인분께 추천 받은 여수 커피숍 코쿤!!! 언제고 가봐야지~~ 했었는데, 여수 내려가서 친구들 만나고 저녁먹고 놀다보면 시간이...,코쿤 되게 혼자 앉아있으면 힐링 되는 느낌이다 혼자 놀다가 갑자기 바다가고 싶다 이래서 너무 더운 날씨 여름에 나 못 살 것 같아 난 여수에서 계속 살래 혼자가 편해 뭐든 걱정없이 술집 갔는데 갱얼쥐가 부끄럼 많은...,여수 카페코쿤 단짝 친구랑 코쿤방문. 곽언니는 코쿤 첫 방문 ㅋㅋㅋ 몇 번 다녀온 것처럼 느낄 정도로 주위에서 코쿤에 대해 많이 들었던 카페. ▼ 핑크 레모네이드, 커피 이름 모르겠음;;;; 폰당쇼콜라 주문 ▼ 폰당쇼콜라...,11:50 23:30 공휴일 ,명절 휴무 매주 일요일 휴무 어마어마한 커피 맛집을 찾아냈어요 여서동에 위치한 코쿤!!!!! #카페코쿤 #커피맛집 #여수커피맛집 #여수카페추천 딱 들어가자마자 커피에 진심인 사장님을 뵈었습니당...,순천에서 저녁 먹구 카페는 여수로온 우리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 만성리 NCNP갔다가 9시 마감이라 쫓겨남ㅠㅠ 왜케빨리닫아.... 그래서 부득이하게 여서동으로 넘어왔눈데 마침 코쿤이 오픈... 심지어 12시까지....."
